bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio2,bio1,wind_avg,vapr_avg,srad_avg
123,462,114,661,61.2604,31,236,1453,17.554,20.128,17.66,19.96667,13.68,11.932,25.612,110.05134,71.94201,9.84167,19.16417,22.876,20.052,168411.3281
135,505,128,684,59.35082,34,235,1539,19.504,22.228,19.56467,22.08067,13.1,14.176,27.276,116.98929,70.22391,9.19933,21.18167,23.592,22.794,169994.3281
153,527,145,714,57.86425,40,245,1622,19.734,22.51133,19.77933,22.352,13.268,14.316,27.584,119.27039,70.1437,9.30667,21.43833,23.408,23.2908,169484.25
153,527,145,714,57.86425,40,245,1622,19.734,22.51133,19.77933,22.352,13.268,14.316,27.584,119.27039,70.1437,9.30667,21.43833,23.408,23.2908,169484.25
135,505,128,684,59.35082,34,235,1539,19.504,22.228,19.56467,22.08067,13.1,14.176,27.276,116.98929,70.22391,9.19933,21.18167,23.592,22.794,169994.3281
144,512,135,695,58.69657,36,239,1568,19.51267,22.25533,19.56933,22.096,13.136,14.164,27.3,117.54252,70.27508,9.23133,21.19767,23.472,22.8568,170181.8281
144,512,135,695,58.69657,36,239,1568,19.51267,22.25533,19.56933,22.096,13.136,14.164,27.3,117.54252,70.27508,9.23133,21.19767,23.472,22.8568,170181.8281
144,512,135,695,58.69657,36,239,1568,19.51267,22.25533,19.56933,22.096,13.136,14.164,27.3,117.54252,70.27508,9.23133,21.19767,23.472,22.8568,170181.8281
144,512,135,695,58.69657,36,239,1568,19.51267,22.25533,19.56933,22.096,13.136,14.164,27.3,117.54252,70.27508,9.23133,21.19767,23.472,22.8568,170181.8281
190,573,183,781,55.26399,54,268,1803,19.80667,22.64267,19.81867,22.43333,13.028,14.488,27.516,121.94018,70.17193,9.142,21.53367,22.864,23.9456,169865.3281
190,573,183,781,55.26399,54,268,1803,19.80667,22.64267,19.81867,22.43333,13.028,14.488,27.516,121.94018,70.17193,9.142,21.53367,22.864,23.9456,169865.3281
190,573,183,781,55.26399,54,268,1803,19.80667,22.64267,19.81867,22.43333,13.028,14.488,27.516,121.94018,70.17193,9.142,21.53367,22.864,23.9456,169865.3281
192,592,192,808,55.07981,57,276,1864,20.71333,23.63067,20.71333,23.446,13.472,15.192,28.664,126.17266,70.21971,9.46,22.494,22.936,25.4608,171075.3281
10,196,8,249,106.83717,2,106,388,5.494,10.49067,5.548,9.996,25.528,-4.996,20.532,204.3108,76.79672,19.60467,8.06833,29.404,6.724,200095.1719
162,534,153,723,57.15299,45,247,1651,19.87467,22.70467,19.90733,22.49933,13.18,14.5,27.68,121.109,70.03288,9.23033,21.59817,23.636,23.7272,168926.1719
187,590,187,803,55.51267,57,273,1847,21.08867,24.03467,21.08867,23.88667,13.72,15.448,29.168,127.95245,70.06074,9.61233,22.8965,23.22,26.0312,171853.8281
187,590,187,803,55.51267,57,273,1847,21.08867,24.03467,21.08867,23.88667,13.72,15.448,29.168,127.95245,70.06074,9.61233,22.8965,23.22,26.0312,171853.8281
187,590,187,803,55.51267,57,273,1847,21.08867,24.03467,21.08867,23.88667,13.72,15.448,29.168,127.95245,70.06074,9.61233,22.8965,23.22,26.0312,171853.8281
187,590,187,803,55.51267,57,273,1847,21.08867,24.03467,21.08867,23.88667,13.72,15.448,29.168,127.95245,70.06074,9.61233,22.8965,23.22,26.0312,171853.8281
187,590,187,803,55.51267,57,273,1847,21.08867,24.03467,21.08867,23.88667,13.72,15.448,29.168,127.95245,70.06074,9.61233,22.8965,23.22,26.0312,171853.8281
145,491,135,671,57.94439,39,232,1522,18.78733,21.53867,18.85,21.30733,12.796,13.616,26.412,116.38219,70.26935,8.99167,20.4585,23.58,21.7824,165619.5
145,491,135,671,57.94439,39,232,1522,18.78733,21.53867,18.85,21.30733,12.796,13.616,26.412,116.38219,70.26935,8.99167,20.4585,23.58,21.7824,165619.5
159,535,151,720,57.42681,43,244,1642,20.09533,22.93733,20.11933,22.746,13.46,14.576,28.036,122.16262,70.00248,9.42233,21.83017,23.796,24.1052,170673.3281
185,571,185,778,54.91116,55,266,1801,20.23133,23.14867,20.23133,22.94267,13.36,14.776,28.136,125.26126,70.15219,9.37233,21.99983,23.26,24.6532,166129.75
159,535,151,720,57.42681,43,244,1642,20.09533,22.93733,20.11933,22.746,13.46,14.576,28.036,122.16262,70.00248,9.42233,21.83017,23.796,24.1052,170673.3281
177,568,177,774,55.84546,53,264,1779,20.404,23.32667,20.404,23.12,13.484,14.876,28.36,125.72404,70.28082,9.47667,22.17267,23.388,24.8268,169304.4219
178,574,178,781,56.00191,54,265,1792,20.76333,23.70933,20.76333,23.53133,13.664,15.152,28.816,127.27002,70.13076,9.58267,22.557,23.528,25.4064,171442.6719
159,537,151,727,57.61197,44,247,1656,20.08267,22.946,20.11067,22.74667,13.416,14.592,28.008,122.83264,70.02584,9.39467,21.82733,23.752,24.0916,170514
128,481,120,656,60.06359,33,225,1470,18.76733,21.52867,18.82467,21.28733,12.976,13.512,26.488,116.66903,69.739,9.04933,20.43933,23.776,21.8196,169395.0781
156,530,151,721,57.61399,44,246,1642,19.65733,22.48733,19.672,22.256,13.196,14.268,27.464,120.98522,70.20561,9.26433,21.36817,23.664,23.452,168553.1719
134,495,126,667,59.30387,36,227,1506,19.44467,22.25733,19.48733,22.03133,13.276,14.044,27.32,119.63457,69.71729,9.25567,21.15117,23.944,22.8816,171163.5
160,474,146,655,55.14023,42,225,1502,19.30333,21.97067,19.34667,21.82267,13.184,13.92,27.104,115.59428,71.72583,9.45633,20.9555,24.664,21.6064,154043.8281
93,482,79,569,63.95706,19,204,1211,18.262,21.09,18.36467,20.96867,17.068,11.024,28.092,122.51152,78.23608,13.35333,20.018,22.744,16.8464,172438.4219
37,331,30,331,84.37469,8,120,594,14.646,19.14067,14.81733,19.14067,21.532,6.1,27.632,189.44458,72.08031,15.52033,17.22383,29.492,15.7576,174689.4219
51,319,31,375,77.7226,7,130,752,17.14,24.00333,18.82067,23.39133,20.46,10.016,30.476,291.08013,61.78397,12.641,21.11017,25.064,18.9684,173457.25
117,345,105,443,54.57139,24,157,1016,22.324,27.034,22.582,26.74,15.852,16.408,32.26,199.05999,66.48792,10.53967,25.2005,36.668,27.4696,167613.25
110,371,92,484,57.72086,21,169,1095,21.844,26.15133,22.12467,25.768,15.384,15.944,31.328,180.22573,67.46187,10.37833,24.48117,36.452,27.0424,164633.5
111,369,94,481,57.43687,22,169,1089,21.828,26.17933,22.10733,25.79933,15.492,15.9,31.392,182.11247,67.41974,10.44467,24.49,36.492,26.9832,164832.8281
92,407,69,555,65.81354,14,195,1204,22.76933,26.84667,23.08733,26.29133,16.172,16.284,32.456,167.58129,69.59971,11.25567,25.23483,33.792,28.3028,163294.9219
147,371,117,487,52.62584,29,171,1128,23.18933,28.18667,24.89133,27.80933,17.652,16.392,34.116,209.72672,67.12554,11.93567,26.22483,33.824,27.0072,168422.25
118,316,92,390,52.12381,24,133,932,22.34133,27.624,22.72133,27.40067,17.816,15.788,33.604,222.83721,66.26815,11.80633,25.5555,34.404,25.8464,169060.0781
136,358,108,445,51.52566,26,153,1062,22.35333,27.60667,22.736,27.29867,18.476,15.384,33.86,219.75973,67.24219,12.42367,25.53017,33.46,25.9472,169382.9219
225,512,176,723,53.89202,47,264,1622,22.678,27.412,24.344,26.94867,17.252,15.94,33.192,196.94569,67.93801,11.72067,25.52833,30.576,27.0244,167945.25
233,523,181,744,54.06929,49,272,1662,22.90267,27.59533,24.56133,27.12133,17.124,16.2,33.324,195.25276,68.08962,11.65967,25.72917,30.348,27.3504,167089.3281
138,372,102,459,53.33883,25,161,1096,22.99667,28.12133,24.64467,27.852,17.676,16.32,34.016,220.03289,66.42718,11.94767,26.2055,31.152,27.2084,167798.6719
153,422,116,557,56.04077,30,199,1272,21.21733,27.04067,22.478,26.69267,16.444,16.036,32.48,203.73495,66.75383,11.164,24.09967,30.36,26.216,168829.75
148,407,112,532,55.64281,29,190,1221,22.44933,27.36533,22.76333,27.02133,16.684,16.204,32.888,205.56579,67.04827,11.18633,25.4285,29.924,26.6804,169191.9219
110,409,81,423,57.46571,24,157,965,22.99933,28.538,23.23333,28.43667,17.244,16.908,34.152,235.9875,63.48295,10.947,26.33317,28.5,28.0264,175025.9219
105,430,75,445,60.58301,21,169,995,22.89267,28.222,23.00867,28.10667,16.792,17,33.792,229.7002,64.19922,10.78033,26.0895,27.504,28.224,170563.75
121,445,92,460,57.02374,27,174,1050,22.77733,28.39533,22.91533,28.33133,17.564,16.604,34.168,241.17575,63.71746,11.19133,26.119,27.56,28.1692,171680.5781
125,428,125,458,44.7719,31,165,1179,20.802,28.012,20.802,27.78,20.116,14.056,34.172,303.09629,58.95804,11.86,24.75633,31.1,26.11,178998.5
110,522,110,522,54.64613,31,197,1210,21.77067,27.57067,21.77067,27.57067,18.9,15.032,33.932,252.18893,64.22752,12.139,25.1895,27.6,27.756,174557.5
60,540,31,994,77.41851,3,345,2068,24.87133,26.156,25.014,25.65867,17.92,16.292,34.212,53.94597,79.07924,14.171,25.6355,16.932,30.4216,175097.1719
50,425,30,720,77.79606,8,251,1512,19.26067,21.90467,19.35933,21.604,15.976,12.344,28.32,118.61992,70.17193,11.21067,21.017,21.268,21.7536,184414.1719
46,417,28,728,79.55461,7,260,1500,19.05267,21.75933,19.13267,21.48867,16.28,12.064,28.344,122.6111,69.7154,11.34967,20.86117,21.24,21.736,184821.0781
28,432,16,737,84.94957,4,252,1471,23.07867,25.574,23.15533,24.9,16.28,15.64,31.92,104.99335,72.00041,11.72167,24.54917,17.44,25.372,187615.6719
24,411,15,687,85.23362,4,233,1359,23.314,25.94667,23.38333,25.31533,16.948,15.624,32.572,111.9751,71.30242,12.08433,24.9025,17.152,25.6548,187381.6719
27,420,14,731,85.47224,3,251,1454,23.93933,26.25733,24.078,25.37267,15.504,16.72,32.224,95.86134,74.76995,11.59233,25.2065,16.952,25.9112,190464
27,384,10,741,87.13442,2,270,1463,24.44533,26.68867,24.59333,25.57467,17.02,16.444,33.464,93.41053,75.60125,12.86733,25.55433,16.128,26.8768,193254.0781
22,400,14,663,85.83076,4,226,1298,23.20267,25.84467,23.272,25.202,16.856,15.592,32.448,112.31021,71.66389,12.07967,24.79417,17.104,25.4352,189329.1719
28,405,15,709,85.14515,3,247,1407,24.082,26.42333,24.23067,25.46867,16.26,16.464,32.724,96.1678,75.14556,12.21867,25.33,16.808,25.9352,190437.75
28,405,15,709,85.14515,3,247,1407,24.082,26.42333,24.23067,25.46867,16.26,16.464,32.724,96.1678,75.14556,12.21867,25.33,16.808,25.9352,190437.75
28,408,15,710,84.9978,3,246,1410,24.05667,26.402,24.20467,25.45333,16.372,16.384,32.756,96.5092,74.95724,12.272,25.31067,16.844,25.8612,189175.8281
28,405,15,709,85.14515,3,247,1407,24.082,26.42333,24.23067,25.46867,16.26,16.464,32.724,96.1678,75.14556,12.21867,25.33,16.808,25.9352,190437.75
25,405,16,696,85.13048,4,235,1377,23.746,26.11333,23.82533,25.24467,15.996,16.284,32.28,100.20427,74.22065,11.892,25.07933,17.132,25.4568,188668.0781
29,404,16,709,84.84201,3,244,1404,23.80267,26.11533,23.96133,25.172,16.076,16.26,32.336,95.09617,75.27578,12.10133,25.03267,17.08,25.382,190073
