bio14,bio12,bio7,bio4,bio3,bio1,wind_avg,vapr_avg,srad_avg
0.079090898,0.076447234,0.040419527,0.033280739,0.049324442,0.037660189,0.046128523,0.036881862,0.040835848
0.086744856,0.080971984,0.038705833,0.035378852,0.048146488,0.04162485,0.047572308,0.041925252,0.041219689
0.102052771,0.085338895,0.039202214,0.036068681,0.048091495,0.042129222,0.047201279,0.042839022,0.041096007
0.102052771,0.085338895,0.039202214,0.036068681,0.048091495,0.042129222,0.047201279,0.042839022,0.041096007
0.086744856,0.080971984,0.038705833,0.035378852,0.048146488,0.04162485,0.047572308,0.041925252,0.041219689
0.091847494,0.082497772,0.038812201,0.035546155,0.048181571,0.041656292,0.047330333,0.042040761,0.041265153
0.091847494,0.082497772,0.038812201,0.035546155,0.048181571,0.041656292,0.047330333,0.042040761,0.041265153
0.091847494,0.082497772,0.038812201,0.035546155,0.048181571,0.041656292,0.047330333,0.042040761,0.041265153
0.091847494,0.082497772,0.038812201,0.035546155,0.048181571,0.041656292,0.047330333,0.042040761,0.041265153
0.137771241,0.094861915,0.038493099,0.036876055,0.04811085,0.042316578,0.046104325,0.044043403,0.041188409
0.137771241,0.094861915,0.038493099,0.036876055,0.04811085,0.042316578,0.046104325,0.044043403,0.041188409
0.137771241,0.094861915,0.038493099,0.036876055,0.04811085,0.042316578,0.046104325,0.044043403,0.041188409
0.145425199,0.098071331,0.039804961,0.038156004,0.048143609,0.044203756,0.04624951,0.046830326,0.041481806
0.005102639,0.02041399,0.075426146,0.061785839,0.052652898,0.015855361,0.059291969,0.012367526,0.048518447
0.114809368,0.086864682,0.038942205,0.036624697,0.048015516,0.042443329,0.047661032,0.043641697,0.040960686
0.145425199,0.097176904,0.040537713,0.038694232,0.048034617,0.044994723,0.046822185,0.047879469,0.041670575
0.145425199,0.097176904,0.040537713,0.038694232,0.048034617,0.044994723,0.046822185,0.047879469,0.041670575
0.145425199,0.097176904,0.040537713,0.038694232,0.048034617,0.044994723,0.046822185,0.047879469,0.041670575
0.145425199,0.097176904,0.040537713,0.038694232,0.048034617,0.044994723,0.046822185,0.047879469,0.041670575
0.145425199,0.097176904,0.040537713,0.038694232,0.048034617,0.044994723,0.046822185,0.047879469,0.041670575
0.099501452,0.080077557,0.037807622,0.035195258,0.048177643,0.040203723,0.04754811,0.040064605,0.040158894
0.099501452,0.080077557,0.037807622,0.035195258,0.048177643,0.040203723,0.04754811,0.040064605,0.040158894
0.109706729,0.086391162,0.039769505,0.036943324,0.047994673,0.04289924,0.047983665,0.044336957,0.041384331
0.140322561,0.094756689,0.039474041,0.037880387,0.048097316,0.043232645,0.046902843,0.045344899,0.040282618
0.109706729,0.086391162,0.039769505,0.036943324,0.047994673,0.04289924,0.047983665,0.044336957,0.041384331
0.135219922,0.093599194,0.039840417,0.038020336,0.048185507,0.043572299,0.04716095,0.045664203,0.041052403
0.137771241,0.094283168,0.040372253,0.038487858,0.048082624,0.04432756,0.047443254,0.046730268,0.041570879
0.112258048,0.087127749,0.039639501,0.037145945,0.048010689,0.042893659,0.047894941,0.044311942,0.041345697
0.084193536,0.077341662,0.038339458,0.035282001,0.047814027,0.040166052,0.047943336,0.040133028,0.041074385
0.112258048,0.086391162,0.038989479,0.036587265,0.048133942,0.041991348,0.047717493,0.043135519,0.040870242
0.091847494,0.079235743,0.039225851,0.036178814,0.047799143,0.041564914,0.048282101,0.042086376,0.041503186
0.10715541,0.07902529,0.038954024,0.034956985,0.049176226,0.041180395,0.049733952,0.039740887,0.037352062
0.048475066,0.063714797,0.05042986,0.037048835,0.053639744,0.039338081,0.04586235,0.030985767,0.041812325
0.020410554,0.031252345,0.06361939,0.057290131,0.049419262,0.033847159,0.059469418,0.028983125,0.042358141
0.017859235,0.039565258,0.060452012,0.088025842,0.042359948,0.041484343,0.050540536,0.034888785,0.042059367
0.061231663,0.053455189,0.046837013,0.060197937,0.045585042,0.049522395,0.07393953,0.050525134,0.040642333
0.053577705,0.057611646,0.04545424,0.054502249,0.046252795,0.048108815,0.073503974,0.049739381,0.039919812
0.056129024,0.057295966,0.045773341,0.05507282,0.046223911,0.048126167,0.073584633,0.049630493,0.039968145
0.03571847,0.063346504,0.047782499,0.05067843,0.047718528,0.049589858,0.068140193,0.052057648,0.039595238
0.073988259,0.059347887,0.052155372,0.063423673,0.046022203,0.051535343,0.068204719,0.049674637,0.040838496
0.061231663,0.049035666,0.052639934,0.06738843,0.045434364,0.050220018,0.069374266,0.047539565,0.040993155
0.066334301,0.055875404,0.054589998,0.066457766,0.04610218,0.050170242,0.067470728,0.047724967,0.041071437
0.119912006,0.085338895,0.050973514,0.059558549,0.046579244,0.050166626,0.06165526,0.049706273,0.040722835
0.125014645,0.08744343,0.05059532,0.059046588,0.04668319,0.050561304,0.061195507,0.050305888,0.040515294
0.063782982,0.057664259,0.052226283,0.066540373,0.045543398,0.051497356,0.06281674,0.050044706,0.040687293
0.076539579,0.066924213,0.048586162,0.061611696,0.045767353,0.047359115,0.061219704,0.048219374,0.040937306
0.073988259,0.064240931,0.049295277,0.062165362,0.045969226,0.049970446,0.060340528,0.04907355,0.041025124
0.061231663,0.050771907,0.050949877,0.071365223,0.043524793,0.051748245,0.05746909,0.051549262,0.042439734
0.053577705,0.052350308,0.049614378,0.069463874,0.044015877,0.051269401,0.055460697,0.05191271,0.041357761
0.068885621,0.055244044,0.051895363,0.072934207,0.043685576,0.051327372,0.055573618,0.051811916,0.041628566
0.079090898,0.062031169,0.059435614,0.091659661,0.040422451,0.048649541,0.062711884,0.048024407,0.043402992
0.079090898,0.063662184,0.055842767,0.076264714,0.04403528,0.049500779,0.055654277,0.051051913,0.042326153
0.007653958,0.10880446,0.052947216,0.016313856,0.054217826,0.050377229,0.034142689,0.05595478,0.04245701
0.020410554,0.079551423,0.047203389,0.035871972,0.04811085,0.041301251,0.042886056,0.040011633,0.044716167
0.017859235,0.078920063,0.048101601,0.037078949,0.047797847,0.040995024,0.042829596,0.039979261,0.044814833
0.010205277,0.077394275,0.048101601,0.031751147,0.049364482,0.048242444,0.03516705,0.046666996,0.045492457
0.010205277,0.071501577,0.050075303,0.033862505,0.04888593,0.048936785,0.03458631,0.047187153,0.045435717
0.007653958,0.076499848,0.045808797,0.028989527,0.051263317,0.049534186,0.034183018,0.047658752,0.04618311
0.005102639,0.076973368,0.050288037,0.028248375,0.051833267,0.050217719,0.032521456,0.049434791,0.04685964
0.010205277,0.068292161,0.049803476,0.033963846,0.049133759,0.048723902,0.03448952,0.04678324,0.045907941
0.007653958,0.074027019,0.048042508,0.029082203,0.05152084,0.04977688,0.033892648,0.047702896,0.046176745
0.007653958,0.074027019,0.048042508,0.029082203,0.05152084,0.04977688,0.033892648,0.047702896,0.046176745
0.007653958,0.074184859,0.048373428,0.029185447,0.051391725,0.049738894,0.03396524,0.047566787,0.045870759
0.007653958,0.074027019,0.048042508,0.029082203,0.05152084,0.04977688,0.033892648,0.047702896,0.046176745
0.010205277,0.072448618,0.047262482,0.030302876,0.050886709,0.04928428,0.034545981,0.046822969,0.045747641
0.007653958,0.073869179,0.047498853,0.028758131,0.051610121,0.049192587,0.034441125,0.046685389,0.046088302
0.005102639,0.07560542,0.04677792,0.027548698,0.052277045,0.048309907,0.035279972,0.045763526,0.046742141
0.005102639,0.07560542,0.04677792,0.027548698,0.052277045,0.048309907,0.035279972,0.045763526,0.046742141
0.010205277,0.072132937,0.048621618,0.029659567,0.050886366,0.048907308,0.034731495,0.046063702,0.045806502
